Currency;Value
EUR;1
AED;43.067
AFN;796.932
ALL;969.400
AMD;4.499.385
ANG;20.991
AOA;10.840.821
ARS;16.970.763
AUD;17.642
AWG;20.991
AZN;19.936
BAM;19.558
BBD;23.454
BDT;1.426.868
BGN;19.558
BHD;0.4409
BIF;35.011.355
BMD;11.727
BND;15.051
BOB;80.972
BRL;63.197
BSD;11.727
BTN;1.035.100
BWP;160.192
BYN;39.375
BZD;23.454
CAD;16.233
CDF;33.751.887
CHF;0.9344
CLP;11.157.576
CNY;83.568
COP;45.726.701
CRC;5.905.020
CUP;281.445
CVE;1.102.650
CZK;243.292
DJF;2.084.110
DKK;74.616
DOP;742.126
DZD;1.521.780
EGP;564.857
ERN;175.903
ETB;1.682.459
FJD;26.178
FKP;0.8652
FOK;74.618
GBP;0.8652
GEL;31.694
GGP;0.8652
GHS;144.636
GIP;0.8652
GMD;860.218
GNF;102.124.481
GTQ;89.803
GYD;2.455.525
HKD;91.242
HNL;306.792
HRK;75.345
HTG;1.535.494
HUF;3.910.167
IDR;192.177.069
ILS;39.096
IMP;0.8652
INR;1.035.052
IQD;15.354.936
IRR;506.212.270
ISK;1.432.133
JEP;0.8652
JMD;1.876.562
JOD;0.8314
JPY;1.732.293
KES;1.515.082
KGS;1.026.202
KHR;47.075.000
KID;17.644
KMF;4.919.678
KRW;16.332.786
KWD;0.3578
KYD;0.9772
KZT;6.337.723
LAK;254.035.281
LBP;1.049.554.156
LKR;3.536.129
LRD;2.177.383
LSL;203.824
LYD;63.494
MAD;105.666
MDL;194.119
MGA;52.239.858
MKD;614.943
MMK;24.630.977
MNT;41.943.225
MOP;93.982
MRU;469.453
MUR;533.417
MVR;181.127
MWK;20.356.030
MXN;216.406
MYR;49.310
MZN;746.802
NAD;203.824
NGN;17.614.808
NIO;431.172
NOK;115.732
NPR;1.656.159
NZD;19.699
OMR;0.4509
PAB;11.727
PEN;40.844
PGK;49.515
PHP;669.837
PKR;3.327.886
PLN;42.557
PYG;83.599.938
QAR;42.686
RON;50.704
RSD;1.171.678
RUB;984.803
RWF;17.037.976
SAR;43.976
SBD;96.336
SCR;176.807
SDG;5.245.894
SEK;109.405
SGD;15.050
SHP;0.8652
SLE;273.538
SLL;273.539.982
SOS;6.712.383
SRD;460.747
SSP;55.086.014
STN;245.000
SYP;153.521.895
SZL;203.824
THB;372.223
TJS;111.317
TMT;41.065
TND;34.068
TOP;27.940
TRY;484.966
TTD;80.654
TVD;17.644
TWD;355.306
TZS;28.823.570
UAH;483.675
UGX;41.068.996
USD;11.727
UYU;468.426
UZS;143.808.263
VES;1.880.289
VND;307.926.292
VUV;1.393.126
WST;31.308
XAF;6.559.570
XCD;31.663
XCG;20.991
XDR;0.8545
XOF;6.559.570
XPF;1.193.320
YER;2.809.338
ZAR;203.767
ZMW;277.995
ZWL;313.509
